17,6	-2,8965	941	NAN
17,7	-2,9055	944	NAN
17,8	-2,9055	944,5	NAN
17,9	-2,9055	944,5	NAN
18	-2,904	944,5	NAN
18,1	-2,9025	944,5	NAN
18,2	-2,9025	944,5	NAN
18,3	-2,904	944,5	NAN
18,4	-2,9025	944,5	NAN
18,5	-2,904	944,5	NAN
18,6	-2,904	944,5	NAN
18,7	-2,9025	944,5	NAN
18,8	-2,9025	944,5	NAN
18,9	-2,9025	944,5	NAN
19	-2,9025	944,5	NAN
19,1	-2,904	944,5	NAN
19,2	-2,904	944,5	NAN
19,3	-2,9025	944,5	NAN
19,4	-2,904	944,5	NAN
19,5	-2,904	944,5	NAN
19,6	-2,9025	944,5	NAN
19,7	-2,904	944,5	NAN
19,8	-2,9055	944,5	NAN
19,9	-2,9025	944,5	NAN
20	-2,9025	944,5	NAN
20,1	-2,904	944,5	NAN
20,2	-2,9025	944,5	NAN
20,3	-2,9025	944,5	NAN
20,4	-2,904	944,5	NAN
20,5	-2,9055	944,5	NAN
20,6	-2,9025	944,5	NAN
20,7	-2,9025	944,5	NAN
20,8	-2,9025	944,5	NAN
20,9	-2,9025	944	NAN
21	-2,904	944,5	NAN
21,1	-2,9025	944,5	NAN
21,2	-2,9025	944,5	NAN
21,3	-2,9025	944,5	NAN
21,4	-2,904	944,5	NAN
21,5	-2,9025	944,5	NAN
21,6	-2,9025	945	NAN
21,7	-2,901	944,5	NAN
21,8	-2,901	945	NAN
21,9	-2,901	944	NAN
22	-2,898	944	NAN
22,1	-2,898	944	NAN
22,2	-2,8965	944,5	NAN
22,3	-2,8935	943,5	NAN
22,4	-2,883	943	NAN
22,5	-2,8725	942	NAN
22,6	-2,8515	940,5	NAN
22,7	-2,841	939,5	NAN
22,8	-2,8335	938,5	NAN
22,9	-2,8335	939	NAN
23	-2,8305	938	NAN
23,1	-2,8275	938	NAN
23,2	-2,823	937,5	NAN
23,3	-2,817	937,5	NAN
23,4	-2,8095	936,5	NAN
23,5	-2,7975	935,5	NAN
23,6	-2,7825	934	NAN
23,7	-2,769	932,5	NAN
23,8	-2,7615	931,5	NAN
23,9	-2,7525	930,5	NAN
24	-2,742	929,5	NAN
24,1	-2,7375	928,5	NAN
24,2	-2,7225	927	NAN
24,3	-2,715	926	NAN
24,4	-2,7075	925,5	NAN
24,5	-2,7105	925,5	NAN
24,6	-2,706	925,5	NAN
24,7	-2,691	923,5	NAN
24,8	-2,679	922	NAN
24,9	-2,6745	921	NAN
25	-2,6655	920,5	NAN
25,1	-2,655	919	NAN
25,2	-2,6415	917,5	NAN
25,3	-2,6055	914	NAN
25,4	-2,5815	910	NAN
25,5	-2,583	909,5	NAN
25,6	-2,583	909	NAN
25,7	-2,574	908,5	NAN
25,8	-2,5515	906	NAN
25,9	-2,5305	902,5	NAN
26	-2,514	900,5	NAN
26,1	-2,493	897,5	NAN
26,2	-2,4615	893	NAN
26,3	-2,4525	890	NAN
26,4	-2,4225	886,5	NAN
26,5	-2,385	881	NAN
26,6	-2,337	873	NAN
26,7	-2,2935	864,5	NAN
26,8	-2,259	858	NAN
26,9	-2,2425	854	NAN
27	-2,166	842,5	NAN
27,1	-2,091	828	NAN
27,2	-2,0355	814	NAN
27,3	-2,019	806	NAN
27,4	-1,965	795,5	NAN
27,5	-1,917	784,5	NAN
27,6	-1,8795	774	NAN
27,7	-1,8615	767,5	NAN
27,8	-1,8375	761,5	NAN
27,9	-1,803	753,5	NAN
28	-1,776	745,5	NAN
28,1	-1,7595	740	NAN
28,2	-1,7265	733	NAN
28,3	-1,707	726,5	NAN
28,4	-1,6845	719,5	NAN
28,5	-1,674	715,5	NAN
28,6	-1,647	709	NAN
28,7	-1,593	696,5	NAN
28,8	-1,5075	676,5	NAN
28,9	-1,4685	661	NAN
29	-1,4565	654	NAN
29,1	-1,416	643	NAN
